"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"absolutely","adv.","B1","绝对地","I absolutely agree with your proposal.","What beliefs do you hold absolutely without doubt?"
"academic","adj.","B1","学术的","Her academic performance has improved significantly.","How do you balance academic pursuits with practical skills?"
"access","n.","B1","获取权；通道","Everyone should have access to quality education.","What barriers prevent equal access to opportunities?"
"accommodation","n.","B1","住宿；适应","The hotel provides excellent accommodation for guests.","How do you judge accommodation quality when traveling?"
"account","n.","B1","账户；描述","Please transfer the money to my account.","What factors do you consider when opening a bank account?"
"achievement","n.","B1","成就","Graduating from university was her greatest achievement.","What achievement required your most sustained effort?"
"ad","n.","B1","广告","This ad effectively targets young consumers.","How do ads influence your purchasing decisions?"
"addition","n.","B1","添加；除了","In addition to English, she speaks three languages.","What addition would most improve your living space?"
"admire","v.","B1","钦佩","I admire her dedication to social causes.","What qualities do you admire in leadership?"
"admit","v.","B1","承认；录取","He finally admitted his mistake publicly.","When is it difficult to admit you were wrong?"
"advanced","adj.","B1","高级的","She enrolled in an advanced mathematics course.","What advanced skills would benefit your career?"
"advise","v.","B1","建议","I would advise caution in this situation.","What would you advise someone starting their career?"
"afford","v.","B1","负担得起","Many families cannot afford healthcare costs.","How do you decide what you can afford?"
"aged","adj.","B1","年老的；陈年的","The program provides support for aged residents.","How should society care for aged populations?"
"agent","n.","B1","代理人","The real estate agent showed us several properties.","What qualities make an effective agent?"
"agreement","n.","B1","协议","We reached an agreement after lengthy negotiations.","What makes international agreements successful?"
"ahead","adv.","B1","向前；提前","Planning ahead prevents future complications.","How far ahead do you typically plan?"
"aim","n.","B1","目标","The campaign's aim is raising environmental awareness.","How do you align daily actions with long-term aims?"
"alarm","n.","B1","警报；担忧","The fire alarm interrupted the meeting.","What social issues cause you the most alarm?"
"album","n.","B1","专辑；相册","Their latest album topped the charts.","What makes a memorable photo album?"
"alcohol","n.","B1","酒精","Excessive alcohol consumption damages health.","How do cultural attitudes toward alcohol vary?"
"alcoholic","adj.","B1","含酒精的","The restaurant serves both alcoholic and non-alcoholic beverages.","What alternatives to alcoholic drinks do you prefer?"
"amazed","adj.","B1","惊讶的","I was amazed by the technological innovations.","What recent discovery has amazed you most?"
"ambition","n.","B1","雄心","Her ambition drives her professional success.","How do you balance ambition with contentment?"
"ambitious","adj.","B1","有雄心的","The company announced ambitious expansion plans.","What makes goals appropriately ambitious versus unrealistic?"
"analyse","v.","B1","分析","Scientists analyse data to identify patterns.","How do you analyse information before making decisions?"
"analysis","n.","B1","分析","The market analysis revealed surprising trends.","What type of analysis do you find most valuable?"
"announce","v.","B1","宣布","The government will announce new policies tomorrow.","How should organizations announce significant changes?"
"announcement","n.","B1","公告","The announcement generated considerable excitement.","What announcement would you most like to hear?"
"annoy","v.","B1","烦恼","Constant interruptions annoy me during work.","What behaviors annoy you in professional settings?"
"annoyed","adj.","B1","烦恼的","She became annoyed by the repeated delays.","How do you manage feelings when annoyed?"
"annoying","adj.","B1","令人烦恼的","The annoying noise kept everyone awake.","What annoying habits do people often overlook?"
"apart","adv.","B1","分开地","The two events occurred years apart.","What keeps communities from growing apart?"
"apologize","v.","B1","道歉","Leaders should apologize for organizational mistakes.","When is it most difficult to apologize?"
"application","n.","B1","申请；应用","The scholarship application requires detailed essays.","What makes job applications stand out?"
"appointment","n.","B1","约会；任命","Schedule an appointment with the specialist.","How do you prepare for important appointments?"
"appreciate","v.","B1","欣赏；感激","I appreciate your honest feedback.","What do you appreciate that others often take for granted?"
"approximately","adv.","B1","大约","The project will cost approximately fifty thousand dollars.","When do you need precise figures versus approximate ones?"
"arrest","v.","B1","逮捕","Police arrested the suspect after investigation.","What factors should guide arrest decisions?"
"arrival","n.","B1","到达","We celebrated the arrival of spring.","What arrival has brought the most positive change?"
"assignment","n.","B1","作业；任务","The research assignment requires extensive reading.","How do you approach challenging assignments?"
"assist","v.","B1","协助","Technology can assist people with disabilities.","When do you prefer to assist others versus encourage independence?"
"atmosphere","n.","B1","气氛；大气","The restaurant has a relaxed atmosphere.","What creates a productive work atmosphere?"
"attach","v.","B1","附加；依恋","Please attach the documents to your email.","What memories do you attach to certain places?"
"attitude","n.","B1","态度","A positive attitude influences team performance.","How do attitudes shape personal relationships?"
"attract","v.","B1","吸引","The museum attracts visitors from around the world.","What qualities attract you to potential friends?"
"attraction","n.","B1","吸引力；景点","The main attraction of the city is its architecture.","What attraction in your area draws the most tourists?"
"authority","n.","B1","权威；当局","The local authority approved the construction project.","How do you respond to authority in different contexts?"
"aware","adj.","B1","意识到的","Employees should be aware of safety protocols.","What global issues are you most aware of?"
"backwards","adv.","B1","向后地","He walked backwards without looking.","What situations require you to think backwards from your goals?"
"bake","v.","B1","烘烤","She bakes bread every Sunday morning.","What memories do you associate with baking?"
"balance","n.","B1","平衡","Maintaining work-life balance requires careful planning.","How do you balance competing priorities?"
"ban","v.","B1","禁止","The city banned smoking in public areas.","What behaviors should society consider banning?"
"bank","v.","B1","存钱；依赖","I bank with the local credit union.","What factors influence where you bank?"
"base","n.","B1","基础；基地","Trust forms the base of strong relationships.","What provides the base for your confidence?"
"basic","adj.","B1","基础的","Everyone needs access to basic healthcare.","What basic rights should all humans have?"
"basis","n.","B1","基础","Merit should be the basis for promotion.","On what basis do you make important decisions?"
"battery","n.","B1","电池；一系列","The car battery needs replacement.","How do you extend battery life in devices?"
"battle","n.","B1","战斗","The legal battle lasted for years.","What personal battles have shaped your character?"
"beauty","n.","B1","美丽","Natural beauty inspires artistic creation.","Where do you find beauty in everyday life?"
"bee","n.","B1","蜜蜂","Bees play a crucial role in pollination.","How do environmental changes affect bee populations?"
"belief","n.","B1","信念","Religious beliefs influence personal decisions.","What beliefs guide your moral choices?"
"bell","n.","B1","铃铛","The church bell rings every hour.","What sound of bells holds meaning for you?"
"bend","v.","B1","弯曲","The road bends sharply around the mountain.","When do you need to bend your principles?"
"bite","v.","B1","咬","The dog won't bite unless threatened.","What experiences taught you not to bite off more than you can chew?"
