"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"ability","n.","A2","能力","She has the ability to speak three languages.","What ability would you like to develop?","Education"
"able","adj.","A2","能够的","I wasn't able to finish my homework.","What are you able to do well?","Grammar"
"abroad","adv.","A2","在国外","I want to study abroad next year.","Have you ever lived abroad?","Places"
"accept","v.","A2","接受","I accept your invitation to the party.","What is difficult for you to accept?","Actions"
"accident","n.","A2","事故","There was a car accident on the highway.","How can people prevent accidents?","Transportation"
"according to","prep.","A2","根据","According to the weather report, it will rain.","According to you, what is most important in life?","Grammar"
"achieve","v.","A2","实现；达到","I want to achieve my dreams.","What do you want to achieve this year?","Actions"
"act","v.","A2","行动；表演","You need to act quickly in an emergency.","How do you act when you're nervous?","Actions"
"active","adj.","A2","积极的；活跃的","My grandfather is still very active.","What activities keep you active?","Emotions"
"actually","adv.","A2","实际上","I thought it was expensive, but actually it was cheap.","What did you actually do yesterday?","Grammar"
"adult","adj.","A2","成人的","This movie is for adult audiences only.","What adult responsibilities do you have?","Family"
"advantage","n.","A2","优势；好处","Speaking English well is a big advantage.","What advantages does technology give us?","Education"
"adventure","n.","A2","冒险","Traveling alone was a great adventure.","What adventure would you like to have?","Daily Life"
"advertise","v.","A2","做广告","Companies advertise their products on TV.","How do companies advertise today?","Technology"
"advertisement","n.","A2","广告","I saw an interesting advertisement yesterday.","What advertisement do you remember?","Technology"
"advertising","n.","A2","广告业","She works in advertising.","How does advertising influence people?","Work"
"affect","v.","A2","影响","The weather can affect your mood.","What factors affect your daily life?","Actions"
"after","conj., adv.","A2","在...之后","Call me after you finish work.","What do you do after dinner?","Time"
"against","prep.","A2","反对；靠着","I'm against smoking in public places.","What are you against?","Position"
"ah","exclam.","A2","啊","Ah, I understand now!","When do you say 'ah'?","Daily Life"
"airline","n.","A2","航空公司","Which airline do you prefer?","What services do airlines provide?","Transportation"
"alive","adj.","A2","活着的","I'm so happy to be alive!","What makes you feel alive?","Emotions"
"all","adv.","A2","完全地","I'm all ready for the exam.","When do you feel all prepared?","Grammar"
"all right","adj./adv., exclam.","A2","好的；没问题","Are you feeling all right today?","When do you say 'all right'?","Daily Life"
"allow","v.","A2","允许","My parents don't allow me to stay out late.","What don't your parents allow you to do?","Actions"
"almost","adv.","A2","几乎","I almost missed the train.","What have you almost forgotten recently?","Grammar"
"alone","adj./adv.","A2","独自的","I like spending time alone sometimes.","What do you enjoy doing alone?","Emotions"
"along","prep., adv.","A2","沿着；一起","Walk along this street and turn left.","Who do you like to walk along with?","Position"
"already","adv.","A2","已经","I've already finished my lunch.","What have you already done today?","Time"
"alternative","n.","A2","选择；替代","What's the alternative to driving to work?","What alternatives do you have for weekend plans?","Daily Life"
"although","conj.","A2","虽然","Although it was raining, we went out.","Complete this: Although I'm tired, I...","Grammar"
"among","prep.","A2","在...之中","She's popular among her classmates.","What are you known for among your friends?","Position"
"amount","n.","A2","数量","A large amount of people came to the concert.","What amount of sleep do you need?","Numbers"
"ancient","adj.","A2","古代的","We visited ancient temples in the city.","What ancient buildings have you seen?","Time"
"ankle","n.","A2","脚踝","I hurt my ankle playing basketball.","How do you protect your ankles during sports?","Body"
"any","adv.","A2","任何程度","Are you feeling any better today?","Do you feel any different than yesterday?","Grammar"
"anybody","pron.","A2","任何人","Does anybody know the answer?","Is there anybody you'd like to meet?","Grammar"
"any more","adv.","A2","再；还","I don't want to eat any more.","What don't you want to do any more?","Grammar"
"anyway","adv.","A2","无论如何","I don't like rain, but anyway, let's go out.","How do you use 'anyway' in conversation?","Daily Life"
"anywhere","adv., pron.","A2","任何地方","You can sit anywhere you like.","Where would you go if you could travel anywhere?","Places"
"app","n.","A2","应用程序","I downloaded a new language learning app.","What app do you use most on your phone?","Technology"
"appear","v.","A2","出现；看起来","The sun appeared behind the clouds.","What appears difficult but is actually easy?","Actions"
"appearance","n.","A2","外貌；出现","Don't judge people by their appearance.","How important is appearance to you?","Descriptions"
"apply","v.","A2","申请；应用","I want to apply for this job.","What job would you like to apply for?","Actions"
"architect","n.","A2","建筑师","The architect designed a beautiful building.","What does an architect need to study?","Work"
"architecture","n.","A2","建筑学","I'm studying architecture at university.","What style of architecture do you prefer?","Education"
"argue","v.","A2","争论","My parents always argue about money.","What do people often argue about?","Actions"
"argument","n.","A2","争论；论据","We had an argument about politics.","How do you handle arguments with friends?","Daily Life"
"army","n.","A2","军队","My brother joined the army last year.","What does the army do during peacetime?","Work"
"arrange","v.","A2","安排","I need to arrange a meeting for tomorrow.","What do you need to arrange this week?","Actions"
"arrangement","n.","A2","安排","We made arrangements for the party.","What arrangements are needed for a wedding?","Daily Life"
"as","adv., conj.","A2","如同；当...时","As I was walking, I saw my friend.","How do you use 'as' to compare things?","Grammar"
"asleep","adj.","A2","睡着的","The baby fell asleep in my arms.","What helps you fall asleep quickly?","Actions"
"assistant","n., adj.","A2","助手；助理的","She works as an assistant manager.","What does a personal assistant do?","Work"
"athlete","n.","A2","运动员","The athlete trains every day.","What qualities make a good athlete?","Sports"
"attack","n., v.","A2","攻击","The dog might attack if it's scared.","How can people protect themselves from attacks?","Actions"
"attend","v.","A2","参加；出席","I attend English classes twice a week.","What events do you regularly attend?","Actions"
"attention","n., exclam.","A2","注意力","Please pay attention to the instructions.","What gets your attention easily?","Emotions"
"attractive","adj.","A2","有吸引力的","She's a very attractive person.","What makes someone attractive?","Descriptions"
"audience","n.","A2","观众","The audience clapped loudly.","What type of audience do you prefer to speak to?","Creative Arts"
"author","n.","A2","作者","My favorite author wrote this book.","Who is your favorite author and why?","Creative Arts"
"available","adj.","A2","可得到的","Are you available for lunch tomorrow?","When are you usually available to meet friends?","Time"
"average","adj., n.","A2","平均的；普通的","The average temperature is 20 degrees.","What is the average age in your class?","Numbers"
"avoid","v.","A2","避免","I try to avoid eating too much sugar.","What do you try to avoid doing?","Actions"
"award","n.","A2","奖项","She won an award for best student.","What award would you like to receive?","Education"
"awful","adj.","A2","糟糕的","The weather was awful yesterday.","What was the most awful experience you've had?","Emotions"
"back","adj.","A2","后面的；背部的","Please use the back door.","What do you keep in your back pocket?","Position"
"background","n.","A2","背景","Tell me about your educational background.","What background experience do you have?","Education"
"badly","adv.","A2","严重地；糟糕地","He behaved badly at the party.","What happens when someone drives badly?","Descriptions"
"bar","n.","A2","酒吧；条状物","Let's meet at the bar after work.","What do people do in a bar?","Places"
"baseball","n.","A2","棒球","Baseball is popular in America.","Do you know how to play baseball?","Sports"
"based","adj.","A2","基于...的","The movie is based on a true story.","What decisions are based on emotions?","Grammar"
"basketball","n.","A2","篮球","I play basketball every weekend.","What skills do you need for basketball?","Sports"
"bean","n.","A2","豆子","I like coffee beans and green beans.","What dishes can you make with beans?","Food & Drink"
"bear (animal)","n.","A2","熊","We saw a bear in the forest.","What should you do if you see a bear?","Animals"
"beat","v.","A2","打败；敲打","Our team beat the other team 3-1.","What is the best way to beat stress?","Actions"
"beef","n.","A2","牛肉","I don't eat beef, only chicken.","How do you like your beef cooked?","Food & Drink"
"before","conj., adv.","A2","在...前面","Think before you speak.","What do you always do before going to bed?","Time"
"behave","v.","A2","表现；举止","Children should behave well in public.","How do you behave when you're nervous?","Actions"
"behaviour","n.","A2","行为；举止","His behaviour was very strange.","What behaviour do you find annoying?","Emotions"
"belong","v.","A2","属于","This book belongs to me.","Where do you feel you belong?","Daily Life"
"belt","n.","A2","皮带","I need a new belt for these pants.","What is a belt used for besides holding up pants?","Clothing"
"benefit","n.","A2","好处；利益","Exercise has many health benefits.","What are the benefits of learning languages?","Daily Life"
"best","adv., n.","A2","最好地；最好的","She sings best in the morning.","When do you perform your best?","Descriptions"
"better","adv.","A2","更好地","I can speak English better now.","What are you getting better at?","Descriptions"
"between","adv.","A2","在中间","The shop is somewhere between here and there.","What comes between work and sleep in your day?","Position"
"billion","number","A2","十亿","A billion people use the internet.","What would you do with a billion dollars?","Numbers"
"bin","n.","A2","垃圾箱","Please put the rubbish in the bin.","What different types of bins do you have?","Home"
"biology","n.","A2","生物学","I studied biology in high school.","What did you learn in biology class?","Education"
"birth","n.","A2","出生","The birth of their baby was a happy moment.","What do you remember about your birth?","Family"
"biscuit","n.","A2","饼干","I love having biscuits with my tea.","What type of biscuits do you prefer?","Food & Drink"
"bit","n.","A2","一点；小块","Can I have a bit of your sandwich?","What would you like just a bit of?","Grammar"
"blank","adj., n.","A2","空白的","Please fill in the blank spaces.","When do you leave something blank?","Descriptions"
"blood","n.","A2","血液","Blood carries oxygen around the body.","What do you know about blood donation?","Body"
"blow","v.","A2","吹","The wind blows strongly today.","What do you blow to make a wish?","Actions"
"board","n.","A2","木板；董事会","Write your name on the board.","What different types of boards do you know?","Education"
"boil","v.","A2","煮沸","Please boil some water for tea.","What do you need to boil before eating?","Food & Drink"
"bone","n.","A2","骨头","The dog buried its bone in the garden.","What foods contain a lot of calcium for bones?","Body"
"book","v.","A2","预订","I need to book a table for dinner.","What do you usually need to book in advance?","Actions"
"borrow","v.","A2","借用","Can I borrow your pen?","What do you often borrow from friends?","Actions"
"boss","n.","A2","老板","My boss is very understanding.","What makes a good boss?","Work"
"bottom","n., adj.","A2","底部","The keys are at the bottom of my bag.","What do you keep at the bottom of your closet?","Position"
"bowl","n.","A2","碗","I ate soup from a big bowl.","What do you eat from a bowl?","Food & Drink"
"brain","n.","A2","大脑","Exercise is good for your brain.","What activities are good for the brain?","Body"
"bridge","n.","A2","桥","We walked across the bridge.","What famous bridges do you know?","Places"
"bright","adj.","A2","明亮的；聪明的","The sun is very bright today.","What makes you feel bright and happy?","Descriptions"
"brilliant","adj.","A2","出色的；聪明的","That's a brilliant idea!","What was the most brilliant solution you've seen?","Descriptions"
"broken","adj.","A2","破碎的","My phone screen is broken.","What do you do when something is broken?","Descriptions"
"brush","v., n.","A2","刷；刷子","I brush my hair every morning.","What do you brush besides your teeth?","Actions"
"burn","v.","A2","燃烧；烧伤","Be careful not to burn the food.","What safety measures prevent burns in the kitchen?","Actions"
"businessman","n.","A2","商人","The businessman travels a lot for work.","What skills does a businessman need?","Work"
"button","n.","A2","按钮；纽扣","Press the red button to start.","What buttons do you press most often?","Technology"
"camp","n., v.","A2","营地；露营","We're going to camp in the mountains.","What do you need for camping?","Travel"
"camping","n.","A2","露营","Camping is fun but tiring.","What do you like or dislike about camping?","Travel"
"can2","n.","A2","罐头","I opened a can of tomatoes.","What foods do you buy in cans?","Food & Drink"
"care","n., v.","A2","关心；照顾","I care about my family very much.","Who do you care about most?","Emotions"
"careful","adj.","A2","小心的","Be careful when crossing the road.","When do you need to be especially careful?","Descriptions"
"carefully","adv.","A2","小心地","Read the instructions carefully.","What do you do carefully to avoid mistakes?","Descriptions"
"carpet","n.","A2","地毯","The carpet in my room is blue.","What are the advantages of having carpets?","Home"
