"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"abandon","v.","B2","放弃；抛弃","Don't abandon your dreams.","When might someone abandon a project?"
"abstract","adj.","B2","抽象的","Abstract art is difficult to understand.","What is the difference between abstract and concrete?"
"abuse","n.","B2","滥用；虐待","Drug abuse is a serious problem.","What types of abuse should we prevent?"
"acceptable","adj.","B2","可接受的","Your work is acceptable but not excellent.","What makes behavior acceptable?"
"accompany","v.","B2","陪伴；伴随","I will accompany you to the hospital.","Who do you like to accompany you?"
"accomplish","v.","B2","完成；实现","She accomplished her goal of learning English.","What have you accomplished this year?"
"accurate","adj.","B2","准确的","Please give me accurate information.","Why is accuracy important in work?"
"accurately","adv.","B2","准确地","He described the event accurately.","How can you speak more accurately?"
"accuse","v.","B2","指控；指责","They accused him of stealing.","What should you do when falsely accused?"
"acquire","v.","B2","获得；习得","Students acquire knowledge through study.","What skills do you want to acquire?"
"actively","adv.","B2","积极地","She participates actively in class.","How can you actively improve your English?"
"adapt","v.","B2","适应；改编","Animals adapt to their environment.","How do you adapt to new situations?"
"adequate","adj.","B2","足够的；适当的","We need adequate funding for the project.","What is adequate preparation for an exam?"
"adjacent","adj.","B2","邻近的","The hotel is adjacent to the airport.","What buildings are adjacent to your school?"
"adjust","v.","B2","调整；适应","Please adjust the temperature.","What do you need to adjust in your life?"
"administration","n.","B2","管理；行政","The school administration made new rules.","What does administration mean in government?"
"administrative","adj.","B2","管理的；行政的","She works in an administrative position.","What administrative tasks do you do?"
"adopt","v.","B2","采用；收养","They decided to adopt a child.","What new methods should schools adopt?"
"advocate","v.","B2","提倡；支持","I advocate for environmental protection.","What causes do you advocate for?"
"affair","n.","B2","事务；事件","This is a private affair.","What public affairs concern you?"
"agricultural","adj.","B2","农业的","Agricultural products are exported worldwide.","What agricultural activities happen in your region?"
"agriculture","n.","B2","农业","Agriculture is important for food production.","How has agriculture changed over time?"
"aid","n.","B2","援助；帮助","The country received foreign aid.","When do countries need international aid?"
"aircraft","n.","B2","飞机","Military aircraft flew overhead.","What types of aircraft do you know?"
"alien","adj.","B2","外国的；陌生的","The customs seemed alien to him.","What alien concepts are hard to understand?"
"allocate","v.","B2","分配；拨给","We need to allocate resources wisely.","How should schools allocate their budget?"
"ally","n.","B2","盟友；同盟","France is a traditional ally of the US.","Who is your closest ally at work?"
"alter","v.","B2","改变；修改","Climate change will alter weather patterns.","What would you like to alter about your life?"
"altogether","adv.","B2","完全地；总共","The project cost $50,000 altogether.","What should be banned altogether?"
"amend","v.","B2","修正；修改","Parliament voted to amend the law.","What laws need to be amended?"
"angel","n.","B2","天使","She looks like an angel.","What makes someone seem like an angel?"
"anger","n.","B2","愤怒","He couldn't control his anger.","How do you manage your anger?"
"anniversary","n.","B2","周年纪念","They celebrated their wedding anniversary.","What anniversaries do you celebrate?"
"annual","adj.","B2","年度的；每年的","The annual meeting is next week.","What annual events do you attend?"
"annually","adv.","B2","每年地","The festival is held annually.","What do you do annually on your birthday?"
"anonymous","adj.","B2","匿名的","The donor wished to remain anonymous.","When is anonymous feedback useful?"
"anticipate","v.","B2","预期；期待","I anticipate problems with the plan.","What do you anticipate for next year?"
"anxiety","n.","B2","焦虑；担心","Exam anxiety affects many students.","What causes you the most anxiety?"
"anxious","adj.","B2","焦虑的；急切的","She was anxious about the results.","When do you feel most anxious?"
"appeal","v.","B2","呼吁；吸引","The charity appealed for donations.","What causes appeal to you?"
"applicant","n.","B2","申请人","The job applicant was well qualified.","What makes a strong applicant?"
"appoint","v.","B2","任命；约定","The board will appoint a new director.","Who has the power to appoint leaders?"
"approach","n.","B2","方法；途径","We need a new approach to this problem.","What approach works best for learning?"
"appropriate","adj.","B2","合适的；恰当的","Choose appropriate clothing for the interview.","What is appropriate behavior in class?"
"approval","n.","B2","批准；赞成","The project needs government approval.","Whose approval do you value most?"
"approve","v.","B2","批准；赞成","Parents must approve the field trip.","What decisions do you need to approve?"
"arise","v.","B2","出现；产生","Problems may arise during construction.","What problems arise from poor planning?"
"armed","adj.","B2","武装的","Armed guards protected the building.","What places have armed security?"
"artificial","adj.","B2","人工的；人造的","Artificial intelligence is advancing rapidly.","What artificial products do you use daily?"
"artistic","adj.","B2","艺术的；有艺术性的","She has great artistic talent.","What artistic skills do you have?"
"aside","adv.","B2","在一边；除...之外","Put your phone aside during class.","What should you set aside for the future?"
"aspect","n.","B2","方面；层面","Consider every aspect of the problem.","What aspect of English is hardest?"
"assault","n.","B2","攻击；袭击","The victim reported the assault to police.","How can we prevent assault?"
"assemble","v.","B2","聚集；组装","Students assembled in the auditorium.","When do people assemble for meetings?"
"assembly","n.","B2","集会；装配","The school held a special assembly.","What assemblies do you attend?"
"assess","v.","B2","评估；评价","Teachers assess student performance.","How do you assess your own progress?"
"assessment","n.","B2","评估；评价","The assessment showed positive results.","What assessment methods are most fair?"
"asset","n.","B2","资产；有价值的东西","Good health is a valuable asset.","What is your greatest personal asset?"
"associate","v.","B2","联想；关联","I associate this song with summer.","What do you associate with happiness?"
"association","n.","B2","协会；联想","She joined the teachers' association.","What associations do you belong to?"
"assume","v.","B2","假设；承担","I assume you know the answer.","What do you assume about people?"
"assumption","n.","B2","假设；假定","That assumption proved to be wrong.","What assumptions should we question?"
"assure","v.","B2","保证；使确信","I can assure you it's safe.","How do you assure someone who is worried?"
"athletic","adj.","B2","运动的；体格健壮的","He has an athletic build.","What athletic activities do you enjoy?"
"attempt","n.","B2","尝试；企图","This is my first attempt at cooking.","What was your best attempt at something difficult?"
"attendance","n.","B2","出席；参加","Class attendance is mandatory.","How is attendance tracked at your school?"
"attorney","n.","B2","律师","The attorney represented the defendant.","When do people need an attorney?"
"attribute","n.","B2","属性；特征","Patience is an important attribute.","What attributes make a good leader?"
"auto","n.","B2","汽车","He works in the auto industry.","What auto features are most important?"
"automatic","adj.","B2","自动的","The door has an automatic lock.","What automatic systems do you use?"
"automatically","adv.","B2","自动地","The lights turn on automatically.","What happens automatically in your daily routine?"
"automobile","n.","B2","汽车","The automobile industry is changing.","How has the automobile impacted society?"
"backup","n.","B2","备份；后备","Always keep a backup of important files.","What should you always have a backup for?"
"bare","adj.","B2","光秃的；空的","The tree branches were bare.","What looks bare in winter?"
"barely","adv.","B2","几乎不；勉强","I can barely see in this light.","What can you barely manage to do?"
"bargain","n.","B2","便宜货；协议","That shirt was a real bargain.","Where do you find the best bargains?"
"barrier","n.","B2","障碍；屏障","Language can be a barrier to communication.","What barriers prevent you from success?"
"bear","v.","B2","承受；忍受","I can't bear this pain anymore.","What is difficult to bear in life?"
"behalf","n.","B2","代表；利益","I'm calling on behalf of my boss.","Who do you speak on behalf of?"
"behavior","n.","B2","行为；举止","His behavior was inappropriate.","What behavior do you find annoying?"
"being","n.","B2","存在；生物","Every living being deserves respect.","What kind of being are humans?"
"bench","n.","B2","长凳；工作台","They sat on a park bench.","Where do you find benches?"
"beside","prep.","B2","在...旁边","She sat beside me in class.","Who sits beside you at dinner?"
"bet","v.","B2","打赌；确信","I bet it will rain tomorrow.","What would you bet money on?"
"beyond","prep.","B2","超出；在...之外","The mountain is beyond those trees.","What is beyond your comfort zone?"
"bid","n.","B2","出价；投标","His bid for the house was accepted.","What would you make a bid on?"
