"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt","Theme"
"a","article","A1","一个（用于辅音音素前）","I have a cat.","What does 'a' mean before a noun?","Grammar"
"an","article","A1","一个（用于元音音素前）","I have an apple.","When do you use 'an' instead of 'a'?","Grammar"
"about","prep., adv.","A1","关于；大约","Tell me about your family.","What does 'about' mean in different contexts?","Grammar"
"above","prep., adv.","A1","在...上面","The picture is above the table.","What is the opposite of 'above'?","Position"
"across","prep., adv.","A1","穿过；在...对面","Walk across the street.","How do you use 'across' in a sentence?","Position"
"action","n.","A1","行动；动作","Running is a good action for health.","Can you think of three different actions?","Actions"
"activity","n.","A1","活动","Swimming is my favorite activity.","What activity do you enjoy most?","Daily Life"
"actor","n.","A1","演员（男）","He is a famous actor.","Name an actor you know.","Work"
"actress","n.","A1","演员（女）","She is a talented actress.","What is the difference between actor and actress?","Work"
"add","v.","A1","添加；增加","Add sugar to the coffee.","How do you add numbers?","Actions"
"address","n.","A1","地址","What is your home address?","Why do we need addresses?","Daily Life"
"adult","n.","A1","成年人","She is an adult now.","At what age do you become an adult?","Family"
"advice","n.","A1","建议","Can you give me some advice?","What advice would you give a friend?","Daily Life"
"afraid","adj.","A1","害怕的","I am afraid of spiders.","What are you afraid of?","Emotions"
"after","prep.","A1","在...之后","We eat after work.","What do you do after school?","Time"
"afternoon","n.","A1","下午","Good afternoon!","What time does afternoon start?","Time"
"again","adv.","A1","再一次","Please say it again.","When do you use the word 'again'?","Grammar"
"age","n.","A1","年龄","What is your age?","At what age can people drive?","Time"
"ago","adv.","A1","...以前","I saw him two days ago.","What did you do one hour ago?","Time"
"agree","v.","A1","同意","I agree with you.","When do people say 'I agree'?","Actions"
"air","n.","A1","空气","Fresh air is good for health.","Why do we need clean air?","Weather"
"airport","n.","A1","机场","The airport is very busy.","What do people do at an airport?","Places"
"all","det., pron.","A1","所有的","All students like holidays.","What does 'all' mean?","Grammar"
"also","adv.","A1","也","I also like pizza.","How do you use 'also' in a sentence?","Grammar"
"always","adv.","A1","总是","I always brush my teeth.","What do you always do every day?","Time"
"amazing","adj.","A1","令人惊奇的","The movie was amazing!","What is something amazing you have seen?","Emotions"
"and","conj.","A1","和；并且","I like cats and dogs.","How do you connect two ideas with 'and'?","Grammar"
"angry","adj.","A1","生气的","He is angry about the news.","What makes you angry?","Emotions"
"animal","n.","A1","动物","The lion is a wild animal.","What is your favorite animal?","Animals"
"another","det./pron.","A1","另一个","Can I have another apple?","When do you use 'another'?","Grammar"
"answer","n., v.","A1","答案；回答","What is the answer to this question?","How do you answer a phone?","Technology"
"any","det., pron.","A1","任何的；一些","Do you have any questions?","When do you use 'any' instead of 'some'?","Grammar"
"anyone","pron.","A1","任何人","Can anyone help me?","What does 'anyone' mean?","Grammar"
"anything","pron.","A1","任何事物","I don't want anything.","How is 'anything' different from 'something'?","Grammar"
"apartment","n.","A1","公寓","I live in a small apartment.","What is the difference between apartment and house?","Home"
"apple","n.","A1","苹果","This apple is red and sweet.","What color can apples be?","Food & Drink"
"April","n.","A1","四月","My birthday is in April.","What season is April in?","Time"
"area","n.","A1","地区；面积","This is a quiet area.","What area do you live in?","Places"
"arm","n.","A1","手臂","I hurt my arm playing tennis.","How many arms does a person have?","Body"
"around","prep., adv.","A1","在...周围","There are trees around the house.","What is around your school?","Position"
"arrive","v.","A1","到达","The train will arrive at 3 PM.","What time do you arrive at school?","Actions"
"art","n.","A1","艺术","I love modern art.","What kind of art do you like?","Education"
"article","n.","A1","文章；冠词","I read an interesting article.","What articles are there in English?","Education"
"artist","n.","A1","艺术家","She is a talented artist.","Name a famous artist you know.","Work"
"as","prep.","A1","作为；当...时","I work as a teacher.","How do you use 'as' in a sentence?","Grammar"
"ask","v.","A1","问；要求","Can I ask you a question?","What do you ask your teacher?","Actions"
"at","prep.","A1","在（地点/时间）","I am at home.","When do you use 'at' with time?","Grammar"
"August","n.","A1","八月","August is very hot.","What do you do in August?","Time"
"aunt","n.","A1","姑姑；阿姨","My aunt lives in Beijing.","How many aunts do you have?","Family"
"autumn","n.","A1","秋天","Leaves fall in autumn.","What happens in autumn?","Weather"
"away","adv.","A1","离开；远离","Please go away.","What does 'far away' mean?","Position"
"baby","n.","A1","婴儿","The baby is sleeping.","What do babies need?","Family"
"back","n., adv.","A1","背部；回来","I hurt my back.","When do you say 'come back'?","Body"
"bad","adj.","A1","坏的","This is bad weather.","What is the opposite of 'bad'?","Emotions"
"bag","n.","A1","包；袋子","I carry my books in a bag.","What do you put in your bag?","Daily Life"
"ball","n.","A1","球","Let's play with the ball.","What sports use a ball?","Sports"
"banana","n.","A1","香蕉","Bananas are yellow.","What color are bananas?","Food & Drink"
"band","n.","A1","乐队","My favorite band is playing tonight.","Do you like any music bands?","Education"
"bank (money)","n.","A1","银行","I need to go to the bank.","What do people do at a bank?","Places"
"bath","n.","A1","洗澡；浴缸","I take a bath every evening.","How often do you take a bath?","Daily Life"
"bathroom","n.","A1","浴室；洗手间","The bathroom is upstairs.","What is in a bathroom?","Home"
